SN,TestTime,MAC,TotalStatus,打开串口,硬件版本,软件版本,比对产品SN,比对电池SN,蓝牙地址,产品颜色测试,产品提示音测试,电池电压测试,NTC测试,写充电模式(用户),充电模式测试(用户),清除配对记录,关闭串口
,,,,NA,B816_V10,CM70-L-BD 1.0.0.102,GJ1225,SYN0C,NA,华为黑色,华为中文,3.8,790,用户模式,用户模式,NA,NA
,,,,NA,B816_V10,CM70-L-BD 1.0.0.102,GJ1225,SYN0C,NA,华为黑色,华为中文,3.8,790,用户模式,用户模式,NA,NA
,20190618071826,,Fail,Fail,,,,,,,,,,,,,
,20190618071844,E09DFA349216,Fail,Pass,B816_V10,Amazon-1.0.0.100(LC),GJ12251954000255,SYN0C1903021180,E09DFA349216,华为黑色,华为中文,4.144,,,,,
,20190618071801,E09DFA349216,Fail,Pass,B816_V10,Amazon-1.0.0.100(LC),GJ12251954000255,SYN0C1903021180,E09DFA349216,华为黑色,华为中文,4.144,855,用户模式,用户模式,Pass,Pass
,20190618081831,E09DFA349216,Fail,Pass,B816_V10,Amazon-1.0.0.100(LC),GJ12251954000255,SYN0C1903021180,E09DFA349216,华为黑色,华为中文,4.144,855,用户模式,用户模式,Pass,Pass
,20190618081826,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,866,用户模式,用户模式,Pass,Pass
,20190618081801,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.888,855,用户模式,用户模式,Pass,Pass
,20190618081858,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,855,用户模式,用户模式,Pass,Pass
,20190618081854,,Fail,Fail,,,,,,,,,,,,,
,20190618081806,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,844,用户模式,用户模式,Pass,Pass
,20190618081840,,Fail,Fail,,,,,,,,,,,,,
,20190618081851,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,844,用户模式,用户模式,Pass,Pass
,20190618081832,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,844,用户模式,用户模式,Pass,Pass
,20190618081813,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.899,844,用户模式,用户模式,Pass,Pass
,20190618081812,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.899,844,用户模式,用户模式,Pass,Pass
,20190618081808,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.899,833,用户模式,用户模式,Pass,Pass
,20190618081859,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,833,用户模式,用户模式,Pass,Pass
,20190618081810,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,833,用户模式,用户模式,Pass,Pass
,20190618091810,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.899,833,用户模式,用户模式,Pass,Pass
,20190618091819,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,833,用户模式,用户模式,Pass,Pass
,20190618091855,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,833,用户模式,用户模式,Pass,Pass
,20190618091847,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,833,用户模式,用户模式,Pass,Pass
,20190618091844,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,833,用户模式,用户模式,Pass,Pass
,20190618091838,E09DFA3EC8FE,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225196H100651,SYN0C1903029200,E09DFA3EC8FE,华为黑色,华为中文,3.9,833,用户模式,用户模式,Pass,Pass
,20190618171811,E09DFA349216,Fail,Pass,Pass,00000000,Amazon-1.0.0.100(LC),GJ12251954000255,SYN0C1903021180,E09DFA349216,华为黑色,华为中文,4.122,777,,,,
