SN,TestTime,MAC,TotalStatus,Open_MT8852,Run_MT8852_Script,MT8852_Read_BD_Address,DUT_2402_Power,DUT_2441_Power,DUT_2480_Power,DUT_2402_Sensitivity,DUT_2441_Sensitivity,DUT_2480_Sensitivity,DUT_InitCarrier,Closed_MT8852
,,,,NA,NA,NA,1,1,1,0,0,0,-25,NA
,,,,NA,NA,NA,1,1,1,0,0,0,-25,NA
,20190619141945,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-40.63,-33.98,-33.61,0,0,0,-12.8,Pass
,20190619141913,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-40.88,-33.98,-33.57,0,0,0,-12.3,Pass
,20190619141913,,Fail,Pass,Fail,,,,,,,,,
,20190619151915,,Fail,Pass,Fail,,,,,,,,,
,20190619151928,,Fail,Pass,Fail,,,,,,,,,
,20190619151921,,Fail,Pass,Fail,,,,,,,,,
,20190619151917,,Fail,Pass,Fail,,,,,,,,,
,20190619151939,,Fail,Pass,Fail,,,,,,,,,
,20190619151903,,Fail,Pass,Fail,,,,,,,,,
,20190619151925,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-30.58,-24.83,-26.33,0,0,0,-12.4,Pass
,20190619151940,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-10.36,-4.38,-4.71,0,0,0,-13.6,Pass
,20190619151957,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-38.46,-30.55,-30.3,0,0,0,-12.9,Pass
,20190619151908,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-33.6,-27.15,-27.79,0,0,0,-13.2,Pass
,20190619151920,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-32.13,-27.94,-29.41,0,0,0,-13.1,Pass
,20190619151934,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-39.05,-33.87,-34.38,0,0,0,-13.3,Pass
,20190619151954,,Fail,Pass,Fail,,,,,,,,,
,20190619151941,E09DFA349216,Fail,Pass,Pass,E09DFA349216,0,0,0,0,0,0,0,Pass
,20190619151901,,Fail,Pass,Fail,,,,,,,,,
,20190619151919,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-34.75,-27.89,-27.29,0,0,0,-12.4,Pass
,20190619151933,E09DFA349216,Fail,Pass,Pass,E09DFA349216,0,0,0,0,0,0,0,Pass
,20190619151957,E09DFA349216,Fail,Pass,Pass,E09DFA349216,0,0,0,0,0,0,0,Pass
,20190619151928,,Fail,Pass,Fail,,,,,,,,,
,20190619151950,,Fail,Pass,Fail,,,,,,,,,
,20190619151910,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-2.09,0.73,3.55,0.864,0.292,0.23,-12.3,Pass
,20190619151933,E09DFA349216,Fail,Pass,Pass,E09DFA349216,-2.1,0.72,3.55,0.919,0.599,0.487,-12.1,Pass
,20190619151903,,Fail,Pass,Fail,,,,,,,,,
,20190619151930,,Fail,Pass,Fail,,,,,,,,,
,20190619151901,E09DFA349216,Fail,Pass,Pass,E09DFA349216,4.14,4.79,5.51,0.137,0.437,0.247,-13.7,Pass
,20190619151915,E09DFA349216,Fail,Pass,Pass,E09DFA349216,4.13,4.82,5.55,0.432,0.395,0.027,-13.3,Pass
,20190619151943,,Fail,Pass,Fail,,,,,,,,,
,20190619151953,,Fail,Pass,Fail,,,,,,,,,
,20190619151916,,Fail,Pass,Fail,,,,,,,,,
,20190619151903,,Fail,Pass,Fail,,,,,,,,,
,20190619151952,,Fail,Pass,Fail,,,,,,,,,
,20190619151940,,Fail,Pass,Fail,,,,,,,,,
,20190619151915,,Fail,Pass,Fail,,,,,,,,,
,20190619151935,,Fail,Pass,Fail,,,,,,,,,
,20190619151929,45,Fail,Pass,Pass,45,0,2.4,6,0,0.317,0.333,0,Pass
,20190619151904,45,Fail,Pass,Pass,45,0,2.39,6.08,0,0.33,0.381,0,Pass
,20190619151912,45,Fail,Pass,Pass,45,0,2.41,6.05,0,0.362,0.802,0,Pass
,20190619151919,45,Fail,Pass,Pass,45,0,2.38,5.98,0,0.136,0.357,0,Pass
,20190619151902,45,Fail,Pass,Pass,45,0,2.42,5.95,0,0.117,0.426,0,Pass
,20190619151920,,Fail,Pass,Fail,,,,,,,,,
,20190619151900,,Fail,Pass,Fail,,,,,,,,,
,20190619151955,,Fail,Pass,Fail,,,,,,,,,
,20190619171958,E09DFA3E9914,Fail,Pass,Pass,E09DFA3E9914,-14.07,-12.79,-14.54,0,0,0,-5,Pass
,20190619171923,E09DFA3E9914,Fail,Pass,Pass,E09DFA3E9914,-22.13,-21.47,-19.13,0,0,0,-4.8,Pass
,20190619171913,E09DFA3E9914,Fail,Pass,Pass,E09DFA3E9914,-21.73,-21.79,-19.56,0,0,0,-5.1,Pass
,20190619171927,E09DFA3E9914,Fail,Pass,Pass,E09DFA3E9914,-23.15,-21.71,-19.68,0,0,0,-5.4,Pass
,20190619171904,E09DFA3E9914,Fail,Pass,Pass,E09DFA3E9914,-23.24,-20.07,-19.16,0,0,0,-4.6,Pass
,20190619181909,E09DFA3E9914,Fail,Pass,Pass,E09DFA3E9914,-27.8,-24.87,-16.95,0,0,0,-4.5,Pass
,20190619181902,E09DFA3EC748,Fail,Pass,Pass,E09DFA3EC748,-1.63,-3.22,-8.64,1.352,0,0,-3.9,Pass
,20190619181915,E09DFA3EC748,Fail,Pass,Pass,E09DFA3EC748,-1.59,-3.12,-8.75,2.112,3.549,0,-4.3,Pass
