SN,TestTime,MAC,TotalStatus,HP66319D_Open,Key34461_Open,ChannelOne_OutPut,ChannelTwo_OutPut,ChannelTwo_StopOut,PowerON_Current,BES_OpenSerialPort,BES_SoftVersion,BES_HWVersion,BES_ReadBTAddress,BES_Shutdown,PowerOFF_Current,Channel_Two_OutPut,Channel_Two_StopOut,BES_ShippingMode,ShippingMode_Current,ChannelOne_StopOut,BES_ClosedSerialPort
,,,,NA,NA,NA,NA,NA,2,NA,CM70-L-BD 1.0.0.102,B816_V10,NA,NA,10,NA,NA,NA,3,NA,NA
,,,,NA,NA,NA,NA,NA,2,NA,CM70-L-BD 1.0.0.102,B816_V10,NA,NA,10,NA,NA,NA,3,NA,NA
,20190622002213,,Fail,Pass,Pass,Pass,Pass,Pass,0,,,,,,,,,,,,
,20190622002208,,Fail,Pass,Pass,Pass,Pass,Pass,1.876,,,,,,,,,,,,
,20190622002205,,Fail,Pass,Pass,Pass,Pass,Pass,0,,,,,,,,,,,,
,20190622002206,,Fail,Pass,Pass,Pass,Pass,Pass,2.078,Pass,Fail,,,,,,,,,,
,20190622002209,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.727,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.179,Pass,Pass,Pass,5.096,Pass,Pass
,20190622002245,,Fail,Pass,Pass,Pass,Pass,Pass,0.037,,,,,,,,,,,,
,20190622002233,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,2.129,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.151,Pass,Pass,Pass,5.083,Pass,Pass
,20190622002221,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.709,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.172,Pass,Pass,Pass,5.037,Pass,Pass
,20190622002223,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.816,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.182,Pass,Pass,Pass,5.089,Pass,Pass
,20190622002247,,Fail,Pass,Pass,Pass,Pass,Pass,2.373,Pass,Fail,,,,,,,,,,
,20190622002222,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.787,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.124,Pass,Pass,Pass,5.065,Pass,Pass
,20190622002202,,Fail,,,,,,,,,,,,,,,,,,
,20190622002208,,Fail,,,,,,,,,,,,,,,,,,
,20190622002209,,Fail,,,,,,,,,,,,,,,,,,
,20190622002210,Fail,Fail,,,,,,,,,,Fail,,,,,,,,
,20190622002214,,Fail,,Pass,Pass,,,,,,,,,,,,,,,
,20190622002221,,Fail,,,,,Pass,,,,,,,,,,,,,
,20190622002222,,Fail,,,,,Pass,,,,,,,,,,,,,
,20190622002232,,Fail,,,,,,,,,,,,,,,,,,
,20190622002233,,Fail,,,,,,,,,,,Fail,,,,,,,
,20190622002213,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.733,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.134,Pass,Pass,Pass,5.078,Pass,Pass
,20190622002231,,Fail,Pass,Pass,Pass,Pass,Pass,0,,,,,,,,,,,,
,20190622002252,,Fail,,,,,,,,,,,,,,,,,,
,20190622002204,,Fail,Pass,Pass,Pass,Pass,Pass,0.037,,,,,,,,,,,,
,20190622002254,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.774,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.139,Pass,Pass,Pass,5.053,Pass,Pass
,20190622002241,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.873,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.17,Pass,Pass,Pass,5.086,Pass,Pass
,20190622002223,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.812,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.155,Pass,Pass,Pass,5.06,Pass,Pass
,20190622002258,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.79,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.18,Pass,Pass,Pass,5.097,Pass,Pass
,20190622002233,E09DFA3F27A4,Pass,Pass,Pass,Pass,Pass,Pass,1.776,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3F27A4,Pass,16.192,Pass,Pass,Pass,5.103,Pass,Pass
