SN,TestTime,MAC,TotalStatus,BES_OpenSerialPort,BES_SoftVersion,BES_HWVersion,BES_ReadBTAddress,BES_ReadSN,BES_ReadBattaryVoltage,BES_ClosedSerialPort
,,,,NA,CM79-L-DM 1.0.0.102,B816_V10,NA,NA,3.8,NA
,,,,NA,CM79-L-DM 1.0.0.102,B816_V10,NA,NA,3.8,NA
,20190626192611,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,,
,20190626202658,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,,
,20190626202601,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.111,
,20190626202651,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,,
,20190626202617,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,,
,20190626202620,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.144,
,20190626202648,,Fail,Pass,CM70-L-BD 1.0.0.102,,,,,
,20190626202623,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,,
,20190626202625,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.144,
,20190626202620,,Fail,Pass,,,,,,
,20190626202621,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,,
,20190626202623,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.111,
,20190626202624,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.111,Pass
,20190626202624,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.111,Pass
,20190626202629,,Fail,Pass,,,,,4.111,Pass
,20190626202630,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.111,Pass
,20190626202632,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.133,Pass
,20190626202633,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.133,Pass
,20190626202633,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.133,Pass
,20190626202624,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,,
,20190626202626,E09DFA3E9914,Fail,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.144,
,20190626202627,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.144,Pass
,20190626202603,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.144,Pass
,20190626202624,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.133,Pass
,20190626202625,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.133,Pass
,20190626202602,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.133,Pass
,20190626202611,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.1,Pass
,20190626202617,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.1,Pass
,20190626202647,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.144,Pass
,20190626202612,E09DFA3E9914,Pass,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9914,GJ1225196J200021,4.144,Pass
,20190626212644,,Fail,Fail,,,,,,
,20190626212647,,Fail,Pass,CM70-L-BD 1.0.0.102,,,,,
,20190626212609,,Fail,Pass,CM70-L-BD 1.0.0.102,,,,,
,20190626212641,,Fail,Pass,CM70-L-BD 1.0.0.102,,,,,
