SN,TestTime,MAC,TotalStatus,Key34461_Open,Key34461_ReadVoltage,BES_OpenSerialPort,BES_HWVersion,BES_SoftVersion,BES_ReadBTAddress,BES_HALLTest,BES_WriteSN,BES_CompareSN,BES_ReadBattaryVoltage,BES_ReadNTC,BES_ClosedSerialPort
,,,,,0,NA,B816_V10,Amazon-1.0.0.100(LC),NA,NA,NA,NA,3.8,795,NA
,,,,,0,NA,B816_V10,Amazon-1.0.0.100(LC),NA,NA,NA,NA,3.8,795,NA
GJ12251954000255,20190509080937,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509080956,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509080925,,Fail,Pass,5.00224946,Fail,,,,,,,,,
GJ12251954000255,20190509080907,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509080929,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509080928,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509080925,,Fail,Pass,5.00227481,Fail,,,,,,,,,
GJ12251954000255,20190509080947,,Fail,Pass,5.00225092,Fail,,,,,,,,,
GJ12251954000255,20190509080940,,Fail,Pass,5.0023266,Fail,,,,,,,,,
GJ12251954000255,20190509080900,,Fail,Pass,5.0023119,Fail,,,,,,,,,
GJ12251954000255,20190509090905,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509090932,,Fail,Pass,5.00218447,Fail,,,,,,,,,
GJ12251954000255,20190509090949,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509090912,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509090933,,Fail,Pass,5.00227786,Fail,,,,,,,,,
GJ12251954000255,20190509090906,,Fail,Pass,5.00227701,Fail,,,,,,,,,
GJ12251954000255,20190509090920,,Fail,Pass,5.00220796,Fail,,,,,,,,,
GJ12251954000255,20190509090925,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509090921,,Fail,Pass,Fail,,,,,,,,,,
GJ12251954000255,20190509090957,,Fail,Pass,0.00043552,Fail,,,,,,,,,
GJ12251954000255,20190509090931,,Fail,Pass,0.00040846,Fail,,,,,,,,,
GJ12251954000255,20190509090953,,Fail,Pass,0.000431,Fail,,,,,,,,,
GJ12251954000255,20190509100955,,Fail,Pass,0.0004228,Fail,,,,,,,,,
GJ12251954000255,20190509150925,,Fail,Pass,Pass,Fail,,,,,,,,,,,,
GJ12251954000255,20190509150907,,Fail,Pass,Pass,Fail,,,,,,,,,,,,
GJ12251954000255,20190509150936,,Fail,Pass,Pass,-15.4331784,,,,,,,,,,,,
GJ12251954000255,20190509150958,,Fail,Pass,Pass,-32.7775396,,,,,,,,,,,,
GJ12251954000255,20190509150936,,Fail,Pass,Pass,-67.9232128,,,,,,,,,,,,
GJ12251954000255,20190509150907,,Fail,Pass,Pass,118.299789,,,,,,,,,,,,
GJ12251954000255,20190509150931,,Fail,Pass,Pass,-5.84810024,Pass,Pass,Fail,,,,,,,,,
GJ12251954000255,20190509160950,,Fail,Pass,Pass,-22.189179318,Pass,Pass,Fail,,,,,,,,,
GJ12251954000255,20190509170928,E09DFA349216,Pass,Pass,B816_V10,Amazon-1.0.0.100(LC),E09DFA349216,Pass,Pass,GJ12251954000255,3.955,877,Pass,Pass
