SN,TestTime,MAC,TotalStatus,打开串口,蓝牙地址,软件版本,比对产品SN,比对电池SN,产品颜色测试,产品提示音测试,电池电压测试,NTC测试,写充电模式(用户),充电模式测试(用户),清除配对记录,船运模式,关闭串口
,,,,NA,NA,AM66-L-BD 1.0.0.110,GJ1253,SYN0,荣耀红色,荣耀中文,3.80,730,用户模式,用户模式,NA,NA,NA
,,,,NA,NA,NA,NA,NA,NA,NA,4.05,1000,NA,NA,NA,NA,NA
1111111111111111111,20191109170919,Fail,Fail,Pass,Fail,,,,,,,,,,,,
2115031427GJ9A019254,20191109170937,E09DFA4DE528,Fail,Pass,E09DFA4DE528,,,,,,,,,,,,
2115031427GJ9A019254,20191109170904,,Fail,Fail,,,,,,,,,,,,,
2115031427GJ9A019254,20191109170901,E09DFA4DE528,Fail,Pass,E09DFA4DE528,,,,,,,,,,,,
2115031427GJ9A019254,20191109170947,E09DFA4E968B,Fail,Pass,E09DFA4E968B,,,,,,,,,,,,
,20191109170907,,Fail,Fail,,,,,,,,,,,,,
2115031427GJ9A019254,20191109170911,,Fail,Fail,,,,,,,,,,,,,
2115031427GJ9A019254,20191109170921,,Fail,Pass,Fail,,,,,,,,,,,,
,20191109170901,,Fail,Pass,Fail,,,,,,,,,,,,
2115031427GJ9A019254,20191109170942,,Fail,Pass,Fail,,,,,,,,,,,,
2115031427GJ9A019254,20191109170952,,Fail,Pass,Fail,,,,,,,,,,,,
2115031427GJ9A019254,20191109170957,,Fail,Pass,Fail,,,,,,,,,,,,
2115031427GJ9A019254,20191109170927,E09DFA4E968B,Fail,Pass,GJ125319B7200623,E09DFA4E968B,,,,,,,,,,,
,20191109170949,,Fail,Pass,Fail,,,,,,,,,,,,
,20191109170909,,Fail,Pass,Fail,,,,,,,,,,,,
2155031427GJ9A019254,20191109170930,E09DFA4E968B,Fail,Pass,GJ125319B7200623,E09DFA4E968B,AM66-L-BD 1.0.0.120,,,,,,,,,,
2155031427GJ9A019254,20191109170919,E09DFA4E968B,Fail,Pass,GJ125319B7200623,E09DFA4E968B,AM66-L-BD 1.0.0.120,,,,,,,,,,
,20191109170956,E09DFA4E968B,Fail,Pass,E09DFA4E968B,,,,,,,,,,,,
2155031427GJ9A019254,20191109170914,,Fail,Fail,,,,,,,,,,,,,
2155031427GJ9A019254,20191109170931,E09DFA4E968B,Fail,Pass,E09DFA4E968B,AM66-L-BD 1.0.0.120,,,,,,,,,,,
