SN,TestTime,MAC,TotalStatus,打开串口,读取蓝牙地址,读取软件版本,远距离佩戴测试,近距离佩戴测试,关闭串口
,,,,NA,NA,AM-W1-NTG-BD-1.0.1.012,50,150,NA
,,,,NA,NA,,150,250,NA
,20191113081322,111122333369,Fail,Pass,111122333369,AM-W1-NTG-BD-1.0.1.012,0,58,Pass
,20191113081310,111122333369,Fail,Pass,111122333369,AM-W1-NTG-BD-1.0.1.012,4,176,Pass
,20191113141358,,Fail,Fail,,,,,,
,20191113141340,,Fail,Fail,,,,,,
,20191113151304,,Fail,Fail,,,,,,
,20191113151311,,Fail,Fail,,,,,,
,20191113161302,,Fail,Fail,,,,,,
,20191113161354,,Fail,Pass,Fail,,,,,
,20191113161326,,Fail,Fail,,,,,,
,20191113171349,,Fail,Fail,,,,,,
,20191113171337,,Fail,Fail,,,,,,
,20191113171322,,Fail,Pass,Fail,,,,,
,20191113171349,,Fail,Pass,Fail,,,,,
,20191113171318,,Fail,Pass,Fail,,,,,
