SN,TestTime,MAC,TotalStatus,PowerOFF_Current,Charge_Current,PowerON_Current,OpenCsrDev,Run_MT8852_CsrCalcFreq,CsrEnableTestMode,Open_MT8852,Run_MT8852_Script,MT8852_Read_BD_Address,DUT_2402_Power,DUT_2441_Power,DUT_2480_Power,DUT_2404_Sensitivity,DUT_2441_Sensitivity,DUT_2480_Sensitivity,DUT_InitCarrier,Closed_MT8852,CsrClosedPort,ChannelOne_StopOut
,,,,250,400,12,NA,NA,NA,NA,NA,NA,-3,-3,-3,0,0,0,-25,NA,NA,NA
,,,,500,550,25,NA,NA,A,NA,NA,A,10,10,10,0.1,0.1,0.1,25,NA,NA,NA
,20191122092201,,Fail,302.978,510.858,,,,,,,,,,,,,,,,,
,20191122102204,,Fail,302.903,510.2,18.03,Pass,Pass,-0.773,Pass,Fail,,,,,,,,,,,
,20191122102203,,Fail,302.928,509.634,18.313,Pass,Pass,-0.391,Pass,Fail,,,,,,,,,,,
,20191122102204,,Fail,302.913,510.32,18.49,Pass,Pass,0.215,Fail,Pass,Fail,,,,,,,,,,,
,20191122102232,784405268D55,Fail,302.898,502.227,18.175,Pass,Pass,-0.477,Pass,Pass,784405268D55,-15.03,-16.73,-13.72,0,0,0,1.8,Pass,Pass,Pass
,20191122102220,784405268D55,Fail,302.898,510.298,18.134,Pass,Pass,Pass,Pass,784405268D55,-14.45,-16.38,-13.46,0,0,0,3.3,Pass,Pass,Pass
,20191122102202,784405268D55,Fail,302.862,510.181,19.064,Pass,Pass,Pass,Pass,784405268D55,-13.91,-15.71,-12.3,17.731,10.786,4.891,2.9,Pass,Pass,Pass
,20191122112219,784405268D56,Fail,302.836,496.643,18.061,Pass,Pass,Pass,Pass,784405268D56,-11.39,-14.29,-12.6,10.272,7.369,3.737,2.7,Pass,Pass,Pass
,20191122112207,,Fail,302.854,491.635,17.829,Pass,Pass,0.418,Pass,Fail,,,,,,,,,,,
