SN,TestTime,MAC,TotalStatus,OpenA2,CSR_EarPair,SwitchToA2dp,SpeakerLevel_Left,SpeakerLevel_Right,SpeakerTHD_Left,SpeakerTHD_Right,SpeakerSNR_Left,SpeakerSNR_Right,SpeakerCrosstalk_Left,SpeakerCrosstalk_Right,SwitchToHfp,MainMicphoneLevel,MainMicphoneTHD,MainMicphoneSNR
,,,,NA,NA,NA,0.5,0.5,-80,-80,60,60,-95,-95,NA,120,-20,20
,,,,NA,NA,NA,0.55,0.55,-50,-50,100,100,-65,-65,NA,150,-5,40
784405268DD6,20191210141014,,Fail,Pass,Fail,Fail,,,,,,,,,,,,
784405268DD6,20191210141043,,Fail,Pass,Pass,Pass,0.067,0.067,0.035,0.035,74.383,74.587,-89.451,-90.015,Pass,-6.775,32.158,33.494
784405268DD6,20191210141004,,Fail,Pass,Fail,Pass,0.067,0.067,0.035,0.035,74.648,74.394,-90.313,-89.708,Pass,-6.442,26.612,33.066
784405268DD6,20191210141042,,Fail,Pass,Fail,Fail,,,,,,,,,,,,
784405268DD6,20191210141011,,Fail,Pass,Fail,Fail,,,,,,,,,,,,
784405268DD6,20191210141016,,Fail,Pass,Pass,Pass,0.067,0.067,0.035,0.035,74.47,74.754,-89.721,-90.346,Pass,-7.111,13.899,36.047
784405268DD6,20191210141004,,Fail,Pass,Fail,Fail,,,,,,,,,,,,
784405268DD6,20191210141031,,Pass,Pass,Pass,Pass,0.067,0.067,0.035,0.035,74.294,74.764,-89.399,-89.867,Pass,-6.172,25.685,31.865,Pass
784405268DA0,20191210141033,,Fail,Pass,Fail,Fail,,,,,,,,,,,,,
784405268DA0,20191210141003,,Fail,Pass,Pass,Pass,0.067,0.066,0.044,0.049,70.58,69.105,-80.045,-79.412,Pass,-5.484,37.65,15.626,Pass
784405268DA0,20191210141037,,Fail,Pass,Fail,,,,,,,,,,,,,,
784405268DA0,20191210141002,,Pass,Pass,Pass,Pass,0.067,0.066,0.041,0.044,71.733,71.511,-77.417,-78.528,Pass,-5.536,36.507,31.15,Pass
784405268DA0,20191210141035,,Fail,Pass,Fail,,,,,,,,,,,,,,
784405268DA0,20191210141033,,Fail,Pass,Pass,Pass,0.067,0.066,0.042,0.044,71.856,71.485,-77.609,-78.029,Pass,-5.525,39.384,43.366,Pass
784405268DA0,20191210141051,,Fail,Pass,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151011,,Pass,Pass,Pass,Pass,0.067,0.066,0.042,0.044,72.054,71.395,-77.103,-77.545,Pass,-5.631,39.329,42.787,Pass
784405268DA0,20191210151049,,Fail,Pass,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151029,,Fail,Pass,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151019,,Fail,Pass,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151034,,Fail,Pass,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151006,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151028,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151024,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151009,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151047,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151018,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151052,,Fail,Pass,Pass,0.067,0.066,0.042,0.044,71.926,71.173,-77.364,-78.251,Pass,-16.044,28.853,27.236,Pass
784405268DA0,20191210151028,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151027,,Pass,Pass,Pass,0.067,0.066,0.042,0.044,71.998,71.188,-77.457,-78.241,Pass,-5.031,39.895,41.871,Pass
784405268DA0,20191210151004,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151051,,Pass,Pass,Pass,0.067,0.066,0.043,0.045,71.858,71.251,-77.473,-77.799,Pass,-4.96,39.762,45.207,Pass
784405268DA0,20191210151042,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151032,,Pass,Pass,Pass,0.067,0.066,0.043,0.045,71.365,70.711,-77.994,-78.801,Pass,-5.462,32.534,44.779,Pass
784405268DA0,20191210151034,,Fail,Fail,,,,,,,,,,,,,,
784405268DA0,20191210151035,,Pass,Pass,Pass,0.067,0.066,0.044,0.047,70.863,70.031,-78.599,-78.574,Pass,-5.521,36.844,31.208,Pass
784405268DA0,20191210151008,,Pass,Pass,Pass,0.067,0.066,0.043,0.047,71.045,70.261,-78.051,-78.882,Pass,-5.455,35.518,42.644,Pass
784405268DA0,20191210151045,,Pass,Pass,Pass,0.067,0.066,0.043,0.045,71.455,71.223,-77.435,-77.949,Pass,-6.032,39.494,44.458,Pass
784405268DA0,20191210151057,,Pass,Pass,Pass,0.067,0.066,0.042,0.044,71.281,70.631,-77.899,-78.401,Pass,-4.734,38.479,44.099,Pass
